City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
222,Jiaocheng,CN,79.99,24.6774,116.1389,Changtan Tourism Resort
225,Kinablangan,PH,82.0,7.6947,126.5503,Morales Eatery and Lodging House
227,Omboue,GA,75.2,-1.5746,9.2618,Hotel Olako
228,Semnan,IR,74.61,35.5729,53.3971,Semnan Tourist Hotel
229,Airai,TL,69.24,-8.9266,125.4092,
230,Kabalo,CD,75.31,-6.05,26.9167,
231,Mianyang,CN,68.38,31.4593,104.7542,如家快捷酒店
235,Poum,NC,76.84,-20.2333,164.0167,
237,Jaicos,BR,82.18,-7.3592,-41.1378,Hotel Jaicós
238,Icod De Los Vinos,ES,71.35,28.3724,-16.7119,Hotel El Patio
243,Soe,ID,74.93,-9.8607,124.284,Dena Hotel
244,Saint George,US,93.94,37.1041,-113.5841,Best Western Plus Abbey Inn
245,Powell,US,75.47,40.1578,-83.0752,The Brig
248,Bambanglipuro,ID,77.86,-7.95,110.2833,Puri Brata
249,Souillac,MU,68.88,-20.5167,57.5167,Shanti Maurice Resort & Spa
251,Meulaboh,ID,75.63,4.1363,96.1285,Kost Pria
253,Mount Isa,AU,91.17,-20.7333,139.5,ibis Styles Mt Isa Verona
255,Senador Guiomard,BR,86.7,-10.1522,-67.7392,Paraíso Hotel
257,Phan Thiet,VN,77.83,10.9333,108.1,Hotel Saigon-PT
258,Pedro Ii,BR,77.79,-4.4247,-41.4586,Opala Hotel
260,Vila Velha,BR,71.55,-20.3297,-40.2925,Hotel Vitória Palace
265,Yantzaza,EC,72.19,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
266,Pauini,BR,79.48,-7.7136,-66.9764,Casa do Kiwliks
270,Puerto Quijarro,BO,86.9,-17.7833,-57.7667,Hotel palance
271,Akyab,MM,78.62,20.15,92.9,ဟိုတယ် မန်မိုရီ
272,Kenora,CA,67.17,49.8167,-94.4337,Maynard Lake Lodge
273,Pasighat,IN,76.08,28.0667,95.3333,Siang Guest House
276,Isangel,VU,80.29,-19.55,169.2667,Tanna Lodge
277,Grand Gaube,MU,65.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
278,Porto Walter,BR,82.45,-8.2686,-72.7439,Hotel Silva
279,Broken Hill,AU,67.6,-31.95,141.4333,Royal Exchange Hotel
281,Lufkin,US,89.73,31.3382,-94.7291,Courtyard by Marriott Lufkin
283,Gemena,CD,69.78,3.25,19.7667,Hôtel Goshen
284,Carballo,ES,67.42,43.213,-8.691,Pazo do Souto
286,Kupang,ID,82.81,-10.1667,123.5833,Hotel On The Rock by Prasanthi
287,Zabid,YE,86.31,14.1951,43.3152,مغرب التريبه
290,Padang,ID,73.45,-0.9492,100.3543,Mercure Padang
291,Kavieng,PG,83.35,-2.5744,150.7967,Nusa Island Retreat
292,Aylmer,CA,66.92,42.7668,-80.983,Aylmer Trillium Park
293,Itarema,BR,78.26,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
295,Bethel,US,68.09,41.3712,-73.414,Courtyard by Marriott Danbury
297,Guantanamo,CU,85.57,20.1444,-75.2092,Hotel Guantánamo
298,Eydhafushi,MV,81.25,5.1033,73.0708,Soneva Fushi
299,Faanui,PF,79.02,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
303,Anyang,CN,66.29,36.0994,114.3289,Ibis Anyang Jiefang Ave Hotel
304,Caravelas,BR,67.51,-17.7125,-39.2481,Pousada dos Navegantes
305,Castanos,MX,84.38,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
307,Fort Dodge,US,81.01,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
309,Bambous Virieux,MU,65.21,-20.3428,57.7575,Casa Tia Villa
310,Vaitape,PF,79.03,-16.5167,-151.75,Conrad Bora Bora Nui
312,Lagos,NG,74.57,6.5833,3.75,
314,Lorengau,PG,83.48,-2.0226,147.2712,Lorengau Harbourside Hotel
315,Kant,IN,77.77,27.8,79.8,Sumit Verma
316,Saint Anthony,US,77.72,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
317,Awjilah,LY,79.59,29.1081,21.2869,المنزل
318,Uribia,CO,82.35,11.7139,-72.266,Hotel Uribia
324,Ingham,US,71.78,42.6,-84.3833,Sunset Mobile Home Park
326,Minab,IR,83.17,27.1467,57.0801,Bam campground
329,Hambantota,LK,78.85,6.1241,81.1185,Bungalow 63
331,Batticaloa,LK,79.61,7.7102,81.6924,Grand Star Guest House
333,Teseney,ER,77.18,15.11,36.6575,Sabrin Hotel
334,Vao,NC,73.56,-22.6667,167.4833,Hotel Kou-Bugny
335,Boundiali,CI,71.19,9.5217,-6.4869,Hotel Paysan Boundiali
336,Poso,ID,82.04,-1.3959,120.7524,Hotel 77 Poso
338,Salinopolis,BR,79.84,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
339,Kieta,PG,83.7,-6.2167,155.6333,Uruna Bay Retreat
345,Cockburn Town,TC,80.29,21.4612,-71.1419,Osprey Beach Hotel
347,Assiniboia,CA,69.62,49.6334,-105.9845,Canalta Hotel Assiniboia
351,Lompoc,US,69.94,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
352,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
353,Ruangwa,TZ,66.54,-10.0667,38.9333,Bariadi Inn & lodge
355,Mangrol,IN,79.18,21.1167,70.1167,Hotel The Royal Honours
356,Saint-Pierre,RE,69.48,-21.3393,55.4781,Alize Plage
357,Vila Praia De Ancora,PT,70.11,41.811,-8.8526,Hotel Meira
360,Topi,PK,73.89,34.0704,72.6236,Hostel 6
361,Kavaratti,IN,80.58,10.5669,72.642,Green leaf
364,Pacifica,US,75.34,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
365,Green River,US,79.2,41.5286,-109.4662,Hampton Inn & Suites Green River
366,Sinnamary,GF,80.19,5.3833,-52.95,ALETHEIA Appartement Sinnamary
368,Bubaque,GW,79.81,11.2833,-15.8333,"Casa Dora, Bubaque"
369,Minot,US,82.62,48.2325,-101.2963,Noble Inn
370,Peniche,PT,72.09,39.3558,-9.3811,Hotel Star inn Peniche
374,Beloha,MG,69.91,-25.1667,45.05,
375,Morogoro,TZ,66.16,-6.8167,37.6667,Nashera Hotel
378,Roma,US,66.09,43.2128,-75.4557,Wingate By Wyndham Rome
380,Leshan,CN,68.99,29.5623,103.7639,Leshan Haiyun International Youth Hostel
383,Half Moon Bay,US,75.54,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
384,Nouadhibou,MR,73.38,20.931,-17.0347,El Medina
385,Barao De Melgaco,BR,76.33,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
386,Kimbe,PG,87.17,-5.5502,150.1429,Kimbe Bay Hotel
387,Buta,CD,68.49,2.7858,24.73,Hôtel BOPANDO
389,Libreville,GA,76.73,0.3925,9.4537,Hotel Kreg Le Patio
390,Pascagoula,US,81.32,30.3658,-88.5561,Regency Inn
392,Tautira,PF,78.37,-17.7333,-149.15,Pension Oaoa
393,North Bend,US,74.25,43.4065,-124.2243,Red Lion Hotel Coos Bay
396,Sao Gabriel Da Cachoeira,BR,77.13,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
398,Iquitos,PE,78.84,-3.7481,-73.2472,Cortez Malaga Techy Caroly
399,Soyo,AO,73.44,-6.1349,12.3689,Hospedaria ndozi'ame
400,Anloga,GH,76.12,5.7947,0.8973,Pin Drop Hotel
401,Tura,IN,72.39,25.5198,90.2201,Hotel RIKMAN Continental
402,Yanam,IN,72.81,16.7333,82.2167,The Regency Hotel
403,Westport,US,72.07,41.1415,-73.3579,The Westport Inn
404,Djambala,CG,68.13,-2.5447,14.7533,Hotel Ravin D'or
405,Doha,QA,89.58,25.2867,51.5333,Mövenpick Doha
407,Dong Xoai,VN,74.43,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
408,Shimoda,JP,80.1,34.6667,138.95,Shimoda Tokyu Hotel
410,Diffa,NE,81.05,13.3154,12.6113,ProDAF/Diffa
412,Nagato,JP,70.45,34.3833,131.2,いそう庵
